Año;Hombres;Mujeres
 1.990 ; 158.492 ; 151.744 
 1.991 ; 158.900 ; 153.107 
 1.992 ; 162.110 ; 156.936 
 1.993 ; 169.959 ; 163.966 
 1.994 ; 162.221 ; 155.846 
 1.995 ; 164.109 ; 158.754 
 1.996 ; 170.985 ; 164.218 
 1.997 ; 166.145 ; 160.031 
 1.998 ; 162.186 ; 154.598 
 1.999 ; 180.505 ; 172.663 
 2.000 ; 180.209 ; 175.907 
 2.001 ; 173.648 ; 168.122 
 2.002 ; 170.350 ; 164.339 
 2.003 ; 163.933 ; 158.375 
 2.004 ; 158.494 ; 153.837 
 2.005 ; 154.387 ; 151.054 
 2.006 ; 164.840 ; 157.325 
 2.007 ; 164.964 ; 157.711 
 2.008 ; 165.404 ; 160.206 
 2.009 ; 170.448 ; 162.656 
 2.010 ; 164.313 ; 157.016 
 2.011 ; 168.013 ; 161.605 
 2.012 ; 163.893 ; 156.402 
 2.013 ; 151.182 ; 145.352 
 2.014 ; 150.435 ; 142.371 
 2.015 ; 148.476 ; 142.190 
 2.016 ; 143.717 ; 138.302 
 2.017 ; 149.815 ; 142.244 
 2.018 ; 149.833 ; 144.536 
 2.019 ; 146.405 ; 140.279 
 2.020 ; 136.671 ; 130.248 
 2.021 ; 128.148 ; 122.958 
