Año;Establecimientos MSP;Establecimientos IESS;Establecimientos Junta Beneficencia ;Otros Establecimientos Públicos;Establecimientos Privados;Casa;Otros;Sin información
1993; 77.766 ; 14.068 ; - ; 27.176 ; 49.531 ; 109.609 ; 1.528 ; - 
1994; 75.990 ; 14.456 ; - ; 27.033 ; 52.811 ; 106.355 ; 980 ; - 
1995; 75.969 ; 13.913 ; - ; 27.359 ; 54.944 ; 98.484 ; 671 ; - 
1996; 76.312 ; 14.022 ; - ; 29.488 ; 59.418 ; 90.923 ; 415 ; - 
1997; 68.026 ; 12.911 ; - ; 31.948 ; 67.294 ; 91.148 ; 431 ; - 
1998; 74.964 ; 12.450 ; - ; 33.830 ; 65.090 ; 89.031 ; 590 ; - 
1999; 85.706 ; 11.334 ; - ; 36.119 ; 77.327 ; 94.100 ; 698 ; - 
2000; 83.650 ; 8.474 ; - ; 31.734 ; 82.929 ; 88.443 ; 919 ; - 
2001; 81.440 ; 7.504 ; - ; 27.168 ; 79.541 ; 81.433 ; 1.084 ; - 
2002; 90.461 ; 7.085 ; - ; 28.235 ; 74.888 ; 73.589 ; 1.042 ; - 
2003; 90.057 ; 7.385 ; - ; 27.244 ; 70.882 ; 65.016 ; 1.420 ; - 
2004; 89.571 ; 7.851 ; - ; 25.759 ; 70.187 ; 59.641 ; 1.353 ; - 
2005; 90.069 ; 7.485 ; - ; 27.542 ; 71.948 ; 53.541 ; 2.140 ; - 
2006; 105.121 ; 8.416 ; - ; 27.008 ; 83.232 ; 52.983 ; 1.831 ; - 
2007; 113.703 ; 9.587 ; - ; 24.166 ; 84.657 ; 50.852 ; 1.019 ; - 
2008; 115.344 ; 10.998 ; - ; 25.571 ; 90.952 ; 47.345 ; 845 ; - 
2009; 122.971 ; 12.065 ; - ; 28.318 ; 90.800 ; 43.248 ; 935 ; - 
2010; 123.977 ; 13.989 ; - ; 27.303 ; 89.175 ; 36.893 ; 1.038 ; - 
2011; 136.581 ; 14.832 ; 3.335 ; 21.500 ; 91.373 ; 32.159 ; 1.326 ; - 
2012; 137.454 ; 16.417 ; 21.723 ; 10.008 ; 83.351 ; 27.168 ; 1.188 ; - 
2013; 129.305 ; 17.540 ; 24.531 ; 8.262 ; 76.892 ; 19.482 ; 1.608 ; - 
2014; 136.867 ; 19.152 ; 25.889 ; 6.163 ; 72.800 ; 15.038 ; 2.551 ; - 
2015; 150.293 ; 21.463 ; 20.710 ; 6.248 ; 66.259 ; 13.618 ; 4.722 ; - 
2016; 157.593 ; 24.007 ; 16.270 ; 5.792 ; 56.330 ; 11.262 ; 836 ; 5.393 
2017; 177.685 ; 26.855 ; 11.340 ; 4.246 ; 57.590 ; 11.171 ; 2.510 ; - 
2018; 181.272 ; 28.539 ; 9.707 ; 3.921 ; 57.918 ; 7.202 ; 365 ; 5.056 
2019; 182.143 ; 27.732 ; 8.584 ; 3.302 ; 55.727 ; 1.428 ; 381 ; 6.916 
2020; 162.049 ; 18.379 ; 5.822 ; 1.962 ; 67.603 ; 2.318 ; 446 ; 8.340 
2021; 155.199 ; 18.354 ; 2.560 ; 1.635 ; 64.441 ; 1.624 ; 404 ; 6.889 
