Año;Nacidos Vivos;Azuay;Bolívar;Cañar;Carchi;Cotopaxi;Chimborazo;El Oro;Esmeraldas;Guayas;Imbabura;Loja;Los Ríos;Manabí;Morona Santiago;Napo;Pastaza;Pichincha;Tungurahua;Zamora Chinchipe;Galápagos;Sucumbíos;Orellana;Santo Domingo de los Tsáchilas;Santa Elena;Zonas no delimitadas;Exterior;Sin información
1990; 310.236 ; 14.239 ; 5.514 ; 5.210 ; 4.044 ; 10.376 ; 12.487 ; 10.981 ; 11.573 ; 58.018 ; 9.305 ; 11.809 ; 14.846 ; 33.182 ; 3.020 ; 2.492 ; 1.379 ; 40.826 ; 10.714 ; 2.305 ; 188 ; 2.378 ; 1.692 ; 6.317 ; 5.826 ; - ; 18 ; 31.497 
1991; 312.007 ; 14.967 ; 5.396 ; 5.426 ; 3.960 ; 10.753 ; 12.890 ; 11.636 ; 12.344 ; 60.086 ; 9.518 ; 12.235 ; 15.586 ; 33.030 ; 3.226 ; 2.729 ; 1.425 ; 42.234 ; 11.208 ; 2.353 ; 211 ; 2.621 ; 1.661 ; 6.536 ; 4.957 ; - ; 3 ; 25.016 
1992; 319.046 ; 14.639 ; 5.554 ; 5.416 ; 3.933 ; 10.651 ; 12.700 ; 11.736 ; 11.935 ; 60.193 ; 9.653 ; 12.343 ; 15.232 ; 32.527 ; 3.048 ; 2.618 ; 1.513 ; 42.335 ; 11.088 ; 2.551 ; 227 ; 2.629 ; 1.859 ; 6.292 ; 4.994 ; - ; 3 ; 33.377 
1993; 333.925 ; 13.377 ; 5.399 ; 5.034 ; 3.859 ; 10.960 ; 12.602 ; 11.653 ; 11.667 ; 57.789 ; 9.466 ; 11.704 ; 14.161 ; 33.012 ; 2.929 ; 2.489 ; 1.444 ; 43.115 ; 11.320 ; 2.235 ; 262 ; 2.665 ; 2.062 ; 5.484 ; 5.116 ; - ; - ; 54.121 
1994; 318.067 ; 13.354 ; 5.317 ; 5.096 ; 3.639 ; 10.608 ; 12.620 ; 11.759 ; 11.732 ; 56.857 ; 9.598 ; 11.814 ; 14.346 ; 32.048 ; 2.914 ; 2.477 ; 1.550 ; 42.367 ; 11.315 ; 2.396 ; 280 ; 2.865 ; 2.149 ; 5.785 ; 4.935 ; - ; - ; 40.246 
1995; 322.863 ; 13.054 ; 4.848 ; 4.516 ; 3.340 ; 10.438 ; 12.258 ; 11.520 ; 10.842 ; 56.499 ; 9.339 ; 11.288 ; 13.744 ; 31.083 ; 2.693 ; 2.475 ; 1.374 ; 42.873 ; 10.808 ; 2.356 ; 279 ; 2.793 ; 2.189 ; 6.117 ; 4.809 ; - ; - ; 51.328 
1996; 335.203 ; 12.263 ; 4.790 ; 4.223 ; 3.172 ; 10.339 ; 11.687 ; 11.573 ; 10.892 ; 57.772 ; 9.280 ; 10.852 ; 14.381 ; 29.981 ; 2.558 ; 2.492 ; 1.397 ; 44.218 ; 10.658 ; 2.344 ; 254 ; 2.832 ; 2.155 ; 6.088 ; 5.066 ; - ; 2 ; 63.934 
1997; 326.176 ; 12.926 ; 4.884 ; 4.421 ; 3.269 ; 9.987 ; 11.304 ; 11.405 ; 11.140 ; 57.030 ; 9.641 ; 10.849 ; 14.549 ; 29.456 ; 2.732 ; 2.614 ; 1.550 ; 44.195 ; 10.381 ; 2.519 ; 288 ; 3.315 ; 2.303 ; 6.427 ; 4.818 ; - ; - ; 54.173 
1998; 316.784 ; 13.663 ; 4.654 ; 4.509 ; 3.435 ; 10.140 ; 11.747 ; 11.286 ; 10.663 ; 60.025 ; 9.753 ; 10.915 ; 14.063 ; 27.326 ; 2.994 ; 2.594 ; 1.743 ; 45.654 ; 10.606 ; 2.386 ; 297 ; 3.315 ; 2.391 ; 6.972 ; 5.133 ; 1 ; 2 ; 40.517 
1999; 353.168 ; 13.318 ; 4.867 ; 4.605 ; 3.262 ; 10.207 ; 11.257 ; 13.276 ; 12.633 ; 73.858 ; 9.724 ; 11.113 ; 18.045 ; 33.398 ; 2.870 ; 2.661 ; 1.610 ; 45.448 ; 10.612 ; 2.432 ; 331 ; 3.399 ; 2.561 ; 7.889 ; 6.437 ; 1 ; - ; 47.354 
2000; 356.116 ; 12.602 ; 4.809 ; 4.365 ; 3.140 ; 9.723 ; 11.393 ; 12.825 ; 12.190 ; 69.833 ; 9.635 ; 10.793 ; 17.601 ; 34.448 ; 2.366 ; 2.546 ; 1.553 ; 44.586 ; 10.291 ; 2.176 ; 424 ; 3.340 ; 2.702 ; 7.523 ; 6.173 ; - ; 4 ; 59.075 
