Año ;;Ninguno;Centro de alfabetización;Primaria;Eduacación básica;Secundaria;Educación media/ Bachillerato;Superior no universitario;Superior universitario;Postgrado;Sin información
1990; 263.629 ; 1.546 ; 2.552 ; 127.114 ; - ; 69.083 ; - ; - ; 20.707 ; - ; 42.627 
1991; 265.581 ; 1.244 ; 2.213 ; 127.269 ; - ; 73.305 ; - ; - ; 20.915 ; - ; 40.635 
1992; 269.896 ; 1.202 ; 1.989 ; 127.698 ; - ; 75.848 ; - ; - ; 22.326 ; - ; 40.833 
1993; 279.678 ; 1.220 ; 2.090 ; 131.263 ; - ; 80.781 ; - ; - ; 23.570 ; - ; 40.754 
1994; 277.625 ; 1.391 ; 2.183 ; 129.407 ; - ; 83.165 ; - ; - ; 23.451 ; - ; 38.028 
1995; 271.340 ; 1.187 ; 2.284 ; 121.506 ; - ; 80.692 ; - ; - ; 22.790 ; - ; 42.881 
1996; 270.578 ; 1.054 ; 2.160 ; 120.684 ; - ; 85.103 ; - ; - ; 23.132 ; - ; 38.445 
1997; 271.758 ; 955 ; 2.224 ; 121.241 ; - ; 88.018 ; - ; - ; 23.768 ; - ; 35.552 
1998; 275.955 ; 1.401 ; 2.659 ; 121.874 ; - ; 90.523 ; - ; - ; 24.246 ; - ; 35.252 
1999; 305.284 ; 2.146 ; 2.764 ; 133.093 ; - ; 101.666 ; - ; - ; 25.488 ; - ; 40.127 
2000; 296.149 ; 2.082 ; 2.475 ; 124.192 ; - ; 98.277 ; - ; - ; 26.774 ; - ; 42.349 
2001; 278.170 ; 1.663 ; 1.914 ; 114.377 ; - ; 93.361 ; - ; - ; 27.048 ; - ; 39.807 
2002; 275.300 ; 2.413 ; 1.570 ; 112.881 ; - ; 93.742 ; - ; - ; 28.047 ; - ; 36.647 
2003; 262.004 ; 3.749 ; 1.717 ; 111.369 ; - ; 79.084 ; - ; - ; 27.544 ; - ; 38.541 
2004; 254.362 ; 1.729 ; 24.801 ; 97.682 ; - ; 54.214 ; - ; - ; 22.304 ; - ; 53.632 
2005; 252.725 ; 1.852 ; 80.432 ; 72.263 ; - ; 16.928 ; - ; - ; 4.375 ; - ; 76.875 
2006; 278.591 ; 2.412 ; 98.440 ; 78.972 ; - ; 9.229 ; - ; - ; 4.719 ; - ; 84.819 
2007; 283.984 ; 3.188 ; 96.711 ; 77.728 ; - ; 12.634 ; - ; - ; 7.936 ; - ; 85.787 
2008; 291.055 ; 2.734 ; 86.119 ; 78.988 ; - ; 20.414 ; - ; - ; 17.422 ; - ; 85.378 
2009; 298.337 ; 3.191 ; 64.026 ; 94.710 ; 5.765 ; 38.803 ; 4.422 ; 1.093 ; 21.473 ; 91 ; 64.763 
2010; 292.375 ; 5.325 ; 1.392 ; 96.115 ; 10.901 ; 100.105 ; 9.521 ; 4.458 ; 39.077 ; 639 ; 24.842 
2011; 301.106 ; 4.899 ; 1.236 ; 98.614 ; 8.247 ; 112.214 ; 4.553 ; 4.881 ; 42.241 ; 782 ; 23.439 
2012; 297.309 ; 4.323 ; 1.194 ; 92.969 ; 9.942 ; 109.488 ; 4.515 ; 4.846 ; 43.856 ; 948 ; 25.228 
2013; 277.620 ; 2.579 ; 1.143 ; 80.641 ; 13.582 ; 104.223 ; 4.638 ; 6.398 ; 44.267 ; 906 ; 19.243 
2014; 278.460 ; 612 ; 898 ; 70.842 ; 20.518 ; 84.939 ; 30.504 ; 4.157 ; 45.439 ; 852 ; 19.699 
2015; 283.313 ; 1.617 ; 908 ; 60.914 ; 21.136 ; 82.117 ; 47.407 ; 3.464 ; 46.708 ; 782 ; 18.260 
2016; 277.483 ; 7.967 ; 598 ; 56.853 ; 27.525 ; 96.020 ; 32.928 ; 3.688 ; 47.942 ; 959 ; 3.003 
2017; 291.397 ; 1.618 ; 707 ; 47.838 ; 44.577 ; 85.461 ; 52.282 ; 7.998 ; 48.051 ; 716 ; 2.149 
2018; 293.980 ; 1.888 ; 358 ; 3.300 ; 34.754 ; 41.377 ; 145.812 ; 11.174 ; 48.930 ; 654 ; 5.733 
2019; 286.213 ; 8.537 ; 211 ; 30.824 ; 46.028 ; 69.257 ; 69.526 ; 12.516 ; 48.179 ; 1.094 ; 41 
2020; 266.919 ; 9.845 ; 242 ; 25.460 ; 132.114 ; 12.471 ; 28.144 ; 13.036 ; 44.708 ; 866 ; 33 
2021; 251.106 ; 973 ; 212 ; 22.280 ; 130.666 ; 11.007 ; 30.158 ; 12.581 ; 40.758 ; 828 ; 1.643 
